id	keyword	occurrences	total link strength
1166	convolvulaceae	1	47
1171	cooling systems	4	86
1175	copper	2	61
1177	coprosma kauensis	7	97
1179	coriander	3	52
1180	coriandrum sativum	3	48
1183	corrective measures	2	37
1186	cortisol	2	32
1188	cost analysis	6	105
1190	cost benefit analysis	5	121
1191	cost effectiveness	5	102
1192	cost effectiveness analysis	1	34
1194	cost estimating	1	34
1196	cost-benefit analysis	4	83
1199	costs	13	184
1205	crab	1	48
1209	cricetulus	1	57
1210	cricetulus griseus	1	57
1211	crime	1	40
1212	criminals	1	40
1215	crithmum maritimum	2	27
1218	crop	5	150
1219	crop cultivation	2	25
1220	crop growth	2	24
1225	crop plant	7	138
1227	crop production	21	476
1233	crop yield	16	299
1234	cropping practice	2	24
1237	crops	38	727
1238	"crops, agricultural"	3	82
1246	crustacean	6	112
1250	cucumber	6	76
1254	cucumis melo	1	36
1255	cucumis sativus	12	153
1258	cultivar	3	70
1262	cultivation	66	1070
1264	cultivation periods	2	27
1265	cultivation process	2	22
1269	culture medium	2	69
1271	culture systems	3	43
1275	cuprous ion	1	49
1278	curricula	3	24
1283	cyanobacteria	3	32
1289	cybernetics	2	24
1291	cyprinid	22	441
1292	cyprinidae	12	226
1293	cypriniformes	1	48
1294	cyprinus carpio	24	405
1298	cytotoxicity	1	57
1304	data acquisition	8	94
1305	data analysis	1	45
1314	data visualization	2	22
1315	daylight	1	58
1318	decapoda (crustacea)	10	167
1320	decentralized treatments	1	35
1321	decision making	8	95
1322	decision making process	2	15
1324	decision support system	3	40
1325	decision support systems	5	74
1328	decomposition	2	65
1331	decoupled aquaponics	6	92
1338	deep learning	5	62
1345	deep water culture	8	70
1354	demography	1	44
1355	denaturing gradient gel electrophoresis	1	41
1356	denitrification	14	324
1359	denitrifiers	1	41
1361	desalination	4	42
1366	design	8	148
1368	design and development	3	38
1369	design and implementations	4	57
1384	desorption	1	49
1385	desulfobacterales	1	41
1387	detection method	12	195
1389	detoxification	2	76
1391	detritus	1	58
1393	developing countries	6	47
1399	devices	7	199
1405	dicentrarchus labrax	2	36
1406	dicotyledon	7	200
1407	diet	6	80
1408	dietary mineral	2	26
1414	differential effect	1	36
1416	digalactosyldiacylglycerol	1	45
1418	digestibility	3	42
1421	digital storage	6	75
1422	digital twin	2	21
1424	dilution	2	78
1432	disease control	2	26
1438	diseases	3	23
1439	disinfection	2	48
1441	dissolution	5	97
1443	dissolved inorganic carbon	1	53
1444	dissolved inorganic nitrogen	1	53
1445	dissolved inorganic nitrogens	1	53
1449	dissolved organic matter	4	114
1450	dissolved organic matters	2	61
1451	dissolved oxygen	30	555
1452	dissolved oxygen concentrations	3	70
1453	dissolved oxygen contents	3	44
1463	dna	2	70
1464	dna extraction	2	115
1465	dna isolation	1	45
1467	domestic wastewater	1	46
1468	domestic wastewater reclamation	1	46
1469	domestication	2	25
1475	down-flow hanging sponges	2	54
1477	drinking water	2	71
1478	drip irrigation	3	56
1481	drug	2	53
1482	drug effect	1	42
1483	dry mass	1	50
1484	dry weight	1	42
1492	dwc	2	46
1496	dynamic model	1	50
1497	dynamic modeling	2	28
1498	dynamic models	2	67
1503	e. coli	4	28
1512	ebb-and-flood	2	48
1514	echinoderm	1	48
1528	ecological engineering	1	34
1536	ecology	17	319
1537	econometrics	2	41
1540	economic activity	2	32
1541	economic analysis	11	142
1546	economic benefits	6	73
1549	economic development	2	59
1562	economic sustainability	2	41
1564	economic valuation	1	34
1566	economic viability	3	34
1570	economics	20	240
1576	ecosystem	2	67
1578	ecosystem resilient	1	35
1583	ecosystems	12	136
1585	ecotoxicology	1	57
1589	edible species	2	39
1591	education	7	77
1592	education computing	3	13
1605	efficiency	19	387
1607	efficiency measurement	3	67
1611	effluent	21	507
1612	effluent quality	1	43
1615	effluent treatment	5	100
1616	effluents	33	808
1617	egeria densa	1	58
1619	egypt	4	40
1621	eichhornia	1	49
1622	eichhornia crassipes	2	54
1624	electric activity	1	43
1626	electric conductivity	6	177
1628	electric heat treatment	1	39
1629	electric heating	1	39
1631	electric power generation	2	50
1637	electrical conductivity	11	215
1639	electrical energy consumption	2	52
1640	electrical power	1	39
1641	electricity	2	51
1643	electrification	1	43
1644	electrochemical analysis	1	43
1645	electrochemical method	1	43
1646	electrochemical technology	1	43
1647	electromechanical filters	4	59
1656	electronic equipment	1	39
1666	elsevier	2	24
1667	elution	1	57
1669	embedded systems	4	38
1670	embryophyta	3	69
1672	emerging technologies	2	21
1676	emission	3	113
1677	emission control	3	110
1688	energy	3	117
1689	energy balance	3	47
1691	energy conservation	2	55
1692	energy consumption	3	106
1694	energy conversion	2	31
1695	energy cost	1	43
1696	energy dispersive x ray spectroscopy	1	47
1697	energy efficiency	14	211
1698	energy efficient	4	50
1702	energy harvesting	2	13
1706	energy resource	3	130
1707	energy storage	1	39
1708	energy use	6	189
1710	energy utilization	16	335
1711	energy yield	1	57
1716	engineering education	3	17
1721	england	1	40
1725	enteric pathogens	1	38
1726	enterobacter	1	38
1728	enterprise resource planning	2	39
1735	environment	7	89
1737	environment friendly	3	35
1739	"environment, controlled"	1	45
1746	environmental burdens	3	50
1747	environmental conditions	3	39
1748	environmental considerations	2	38
1749	environmental contamination	1	55
1753	environmental economics	2	39
1756	environmental factor	2	39
1757	environmental factors	4	56
1763	environmental impact	25	384
1764	environmental impact assessments	2	34
1767	environmental information	2	53
1770	environmental management	15	194
1773	environmental monitoring	1	57
1774	environmental parameter	4	41
1775	environmental parameters	3	62
1776	environmental performance	2	31
1778	environmental pollutions	3	58
1780	environmental pricing	1	34
1781	environmental problems	3	33
1782	environmental protection	5	55
1784	environmental regulations	2	62
1787	environmental risk assessment	2	38
1791	environmental sustainability	8	184
1792	environmental technology	10	153
1793	environmental temperature	1	36
1801	enzyme activity	3	77
1802	enzyme kinetics	2	66
1803	enzyme synthesis	1	44
1805	epsilonproteobacteria	1	44
1817	eruca sativa	2	27
1821	escherichia coli	6	107
1826	essential nutrients	3	32
1828	estimation method	3	81
1830	eu	1	49
1832	europe	6	118
1835	european countries	3	36
1837	european sea bass	2	61
1838	european union	3	37
1841	eutrophication	10	233
1842	eutrophication potentials	2	44
1845	evaporation	4	138
1849	evapotranspiration	3	87
1855	excretion	3	85
1865	experimental design	4	50
1870	experimental study	27	473
1872	experimental trials	3	49
1877	exponential growth	2	23
1899	farm crops	1	36
1902	farm size	2	58
1905	farming system	8	197
1906	farms	3	67
1909	fatty acid	4	63
1910	fatty acids	3	87
1912	"fatty acids, omega-3"	1	45
1917	feasibility study	10	140
1923	feces	3	69
1927	feed conversion ratio	3	83
1928	feed conversion ratios	5	63
1932	feeding	4	54
1933	feeding behavior	2	58
1934	feeding frequency	3	62
1935	feeding rate	3	37
1936	feeding regime	1	68
1939	female	5	164
1945	fertigations	2	24
1949	fertilizer	10	276
1950	fertilizer application	9	188
1953	fertilizer draw solute	1	45
1954	fertilizer use	2	47
1955	fertilizer use efficiency	2	47
1956	fertilizers	19	444
1957	few	1	47
1961	filter	5	95
1963	filter media volume	1	37
1964	filters (for fluids)	4	68
1965	filtration	12	246
1975	finfish	8	114
1977	firmicutes	1	44
1978	fish	196	3209
1984	fish culture	26	537
1987	fish disease	2	72
1994	fish farming	8	107
1995	fish farms	2	32
1996	fish feed	4	114
2003	fish ponds	5	74
2005	fish production	3	75
2011	fish tank	4	31
2014	fish wastes	4	62
2015	fish welfare	3	48
2017	fisheries	22	285
2019	fishery	4	142
2020	fishery economics	2	27
2021	fishery management	7	106
2022	fishery modeling	2	28
2024	fishery production	13	233
2026	fishes	13	482
2030	flavobacterium	2	45
2031	flavonoid	1	42
2032	flavonoids	2	24
2036	floating raft	4	57
2042	floating-bed	2	62
2048	floods	3	34
2049	florida	1	44
2050	florida [united states]	1	44
2052	flow of water	7	121
2053	flow rate	4	83
2055	flowering	1	35
2057	fluid intake	1	36
2058	fluorescence	4	41
2059	fluorescence components	1	37
2060	fluorescence intensities	1	37
2064	fluorescence spectroscopy	3	28
2067	fog	2	33
2074	foliar application	6	95
2075	foliar fertilization	2	43
2078	food analysis	1	45
2079	food and agricultural organization	2	40
2089	food industry	6	194
2090	food insecurity	3	25
2091	food intake	1	37
2093	food microbiology	2	45
2098	food production	44	578
2101	food production systems	11	127
2104	food quality	4	101
2105	food quality controls	3	34
2107	food safety	14	116
2108	food security	25	248
2111	food supplementation	4	52
2112	food supply	29	403
2115	food waste	4	21
2116	"food, energy, water nexus"	1	47
2123	forecasting	6	87
2124	forecasting method	2	26
2126	forestry	5	124
2129	forward osmosis	1	45
2137	fresh water	7	220
2138	fresh water resources	1	35
2139	fresh weight	2	79
2140	freshwater	3	72
2141	freshwater alga	1	57
2144	freshwater environment	3	59
2145	freshwater fish	1	57
2146	freshwater fishes	7	151
2149	fruit	14	375
2153	fruiting	1	44
2154	fruits	16	438
2164	fungal strain	1	44
2165	fungi	4	69
2166	fungus	1	44
2172	future perspectives	2	32
2173	future prospect	3	49
2174	future research directions	1	48
2175	fuzzy control	2	38
2176	fuzzy inference	4	51
2178	fuzzy logic	6	84
2184	fuzzy neural networks	2	33
2188	galactosyldiacylglycerol	1	45
2190	gallus gallus	1	56
2192	gammaproteobacteria	3	102
2197	gas emissions	4	64
2203	gateways (computer networks)	5	52
2204	gelation	1	45
2205	gene	1	47
2206	gene amplification	1	45
2207	gene dosage	2	88
2208	gene expression	4	62
2209	gene expression patterns	1	38
2210	gene expression profiling	1	61
2211	gene sequence	2	102
2214	genes	2	74
2215	"genes, bacterial"	1	38
2216	genetic algorithm	2	36
2217	genetic algorithms	7	105
2218	genetic analysis	2	35
2219	genetic programming	4	50
2221	genetically modified bioluminescent bacterium	1	57
2224	genetics	10	391
2225	genomic dna	1	57
2226	genotoxicity	1	57
2230	georgia	1	47
2231	georgia (u.s.)	1	47
2232	geothermal energy	2	27
2234	germany	11	151
2247	global population	3	20
2251	global warming	4	110
2252	global warming potential	1	48
2254	glucose	4	64
2258	glycolipid	1	45
2259	glycolipids	1	45
2261	goldfish	8	83
2264	gotukola	2	34
2265	government regulation	2	27
2275	graphical user interfaces	4	86
2279	gravel	3	44
2280	gravel substrate	2	31
2281	gravimetry	1	45
2285	greater antilles	1	36
2306	greenhouse	14	184
2310	greenhouse effect	4	111
2313	greenhouse gas	3	114
2314	greenhouse gas credits	1	36
2316	greenhouse gases	9	201
2318	greenhouse production	4	54
2319	greenhouses	14	219
2323	groundwater	7	117
2328	grow pipes	2	31
2336	growth	46	767
2337	growth and development	2	20
2338	growth conditions	2	71
2341	growth inhibition	1	57
2343	growth modeling	2	27
2345	growth performance	5	89
2346	growth rate	45	971
2347	growth regulator	2	34
2348	growth response	11	152
2350	"growth, development and aging"	23	782
2362	halimione portulacoides	2	98
2363	halimione portulacoides (amaranthaceae)	1	45
2364	halophyte	14	318
2365	halophytes	5	91
2372	harvest	1	57
2373	harvesting	7	189
2374	hatchery	2	27
2378	health	4	48
2379	health behavior	2	84
2380	health care cost	1	40
2381	health condition	2	14
2385	health status	4	68
2388	heat pump systems	1	39
2390	heat storage	3	62
2391	heat transfer	2	52
2393	heating	6	152
2394	heating and cooling systems	1	39
2395	heating equipment	2	60
2396	heavy metal	4	160
2397	heavy metal bio-accumulation	1	46
2398	heavy metal pollution	1	49
2399	heavy metals	5	117
2400	hediste diversicolor	1	53
2403	helically coiled heat exchangers	2	52
2405	hemicellulose	1	47
2409	hemp	1	35
2411	herb	24	527
2414	herbs	3	27
2417	hermetia illucens	3	43
2420	hexapoda	4	44
2425	high quality water	1	45
2428	high throughput sequencing	3	119
2434	high-throughput nucleotide sequencing	2	63
2438	histopathology	1	37
2445	hormone	2	32
2448	horticulture	15	249
2453	houses	2	30
2457	human	13	298
2461	human computer interaction	3	18
2465	human experiment	2	23
2466	human intervention	5	68
2468	human population	3	37
2473	humans	8	204
2476	humic acid	2	50
2477	humic substance	1	37
2478	humic substances	1	37
2480	humidity control	6	64
2483	hybrid	3	48
2493	hydraulic conductivity	1	68
2496	hydraulic loading rate	3	108
2497	hydraulic loading rates	3	110
2498	hydraulic loading ratio	1	37
2499	hydraulic recycled ratio	1	37
2500	hydraulic retention time	3	93
2501	hydraulics	3	79
2504	hydrocharitaceae	1	58
2513	hydrogen-ion concentration	4	176
2516	hydrophobicity	1	36
2519	hydroponic	35	412
2522	hydroponic cultivation	5	77
2526	hydroponic plant cultivation	1	49
2530	hydroponic solution	1	34
2535	hydroponic systems	7	87
2537	hydroponics	257	4111
2540	hydroxylamine	2	106
2553	illumination	1	50
2555	image processing	6	58
2559	image segmentation	2	30
2564	immunology	2	21
2570	impurities	1	36
2571	imta	6	83
2574	in vitro antagonistic	1	44
2578	inapro	1	50
2582	india	2	29
2583	indicator indicator	2	33
2586	indonesia	6	52
2588	indoor farming	6	38
2599	industrial research	2	25
2602	industry	1	48
2603	industry 4.0	2	26
2612	information management	9	89
2619	infrared devices	3	45
2621	infrared spectroscopy	1	47
2629	innovation	11	127
2639	innovative systems	2	20
2641	innovative technology	3	41
2642	inoculation	3	91
2643	inorganic chemicals	1	42
2644	inorganic compound	1	42
2645	inorganic fertilizers	2	46
2647	inorganic nitrogen	2	21
2649	insect	2	34
2656	institutional framework	2	51
2660	instrumentation	2	92
2668	integrated approach	16	297
2670	integrated aquaculture	7	30
2675	integrated control	2	28
2678	integrated farming	3	39
2682	integrated multi-trophic aquaculture	5	89
2683	integrated multi-trophic aquaculture (imta)	3	77
2688	integrated recirculating aquaponic system	1	34
2690	integrated system	3	30
2691	integrated systems	10	125
2698	intelligent computing	2	26
2702	intelligent monitoring	2	28
2703	intelligent systems	5	68
2705	intensive culture	3	31
2712	interacting process	1	50
2715	interactive simulations	2	22
2723	intermethod comparison	3	127
2725	international cooperation	2	63
2728	internet	3	71
2731	internet of thing	4	64
2732	internet of thing (iot)	6	62
2733	internet of things	62	639
2734	internet of things (iot)	19	201
2735	internet of things technologies	2	24
2737	internet protocols	2	25
2748	intestine	2	56
2749	intestine flora	2	55
2753	introduced species	1	44
2754	invasive species	1	44
2755	invasiveness	1	44
2756	invertebrate	1	44
2757	invertebrates	1	44
2758	investigative procedures	1	41
2759	investment	4	51
2761	investments	6	79
2762	ion exchange	1	49
2765	ionic exchange	1	49
2766	ions	1	48
2767	iot	30	310
2771	ipomoea	5	124
2773	ipomoea aquatica	18	355
2776	iron	8	124
2785	irrigation	11	182
2786	irrigation (agriculture)	2	57
2788	irrigation system	4	70
2790	irrigation waters	1	38
2792	isolation and purification	2	57
2795	israel	2	26
2801	japan	1	44
2806	juvenile	5	63
2808	juvenile sea bass	1	37
2812	kale	1	57
2816	kenya	3	40
2821	kinetics	4	163
2822	klebsiella	1	38
2823	knowledge	2	34
2826	knowledge management	1	35
2827	knowledge model	2	23
2828	knowledge modeling	2	23
2829	koi	3	21
2830	koi carp	7	75
2832	labile carbon	1	58
2835	laboratory method	2	53
2839	labrus	2	43
2845	lactuca	65	1122
2846	lactuca sativa	41	575
2849	lake	1	57
2852	lakes	9	237
2853	land fill	3	63
2860	landfill	1	36
2861	landfill environment	1	36
2863	landfill-gas-to-energy	1	36
2865	large scale systems	3	45
2871	latest technology	3	37
2872	laws and legislation	3	52
2873	layer by layer structure	1	34
2874	lc50	1	57
2875	lca	2	48
2877	lead	1	46
2878	leaf	3	41
2879	leaf area	2	55
2881	leaf chlorosis	2	57
2884	leaf litter	2	68
2889	leafy green vegetable	1	44
2890	leafy vegetable	32	695
2893	learning algorithms	2	22
2896	learning systems	3	41
2903	lemna minor	3	46
2909	lettuce	68	899
2916	life cycle	19	319
2917	life cycle analysis	5	109
2918	life cycle assessment	8	137
2919	life cycle assessment (lca)	10	170
2924	life span	1	48
2925	life style	1	40
2928	lifestyle	2	49
2929	light	2	6
2930	light availability	2	30
2935	light emitting diodes	2	15
2937	light intensity	2	25
2946	lignin	1	47
2949	limit of detection	1	61
2957	lipidomics	1	45
2958	liquid chromatography	2	48
2959	liquid chromatography-mass spectrometry	1	45
2964	literature review	6	124
2967	litopenaeus vannamei	8	109
2969	livestock	1	56
2978	loading	2	94
2995	low concentrations	2	65
2999	low energy consumption	2	52
3000	low impact development	1	47
3008	luminescence	1	57
3010	lycopersicon esculentum	37	814
3011	lycopersicon esculentum var. cerasiforme	4	101
3015	maccullochella peelii peelii	3	28
3016	machine learning	7	36
3018	machine vision	5	29
